"otu.names" "fVals" "pVals" "estimates" "SE" "CIlower" "CIupper"
"1" "X8e926e3b898d202df0bedb9243bb9d60" 0.643319615085169 0.42749892780875 -0.735942472516794 0.917551544986933 -2.59342846527675 1.12154352024316
"2" "e38d1772e0a3344b3fa25e2d3961d39f" 1.01640796031084 0.319749393974824 -0.809455966498264 0.802895825228956 -2.43483358932105 0.815921656324519
"3" "X1e028b93709d3ec8abfb5e7fc3829a2b" 1.20079155866792 0.280060099486199 -0.883062990010619 0.80585679147336 -2.51443477561811 0.748308795596876
"4" "df773621561fd44f82e05d248eae3ad9" 0.504880452316689 0.481701956503538 -0.445446577214905 0.626904443410262 -1.71454827378512 0.823655119355311
"5" "bd1781bb09c7f35df01762fd69dec705" 0.876955851754361 0.354950518385069 0.945732749657032 1.00990276958903 -1.09870852321753 2.9901740225316
"6" "X5f676e17b06e4d9f5695c87259abfdeb" 2.22800620290989 0.143785405785977 1.50028366099214 1.00511367492394 -0.53446259659199 3.53502991857627
"7" "X10b890326e2b0b15509aefb95d0d6b79" 22.7119004041967 2.75261554199984e-05 3.21633589277911 0.674892589887209 1.85008727254401 4.58258451301421
"8" "X5db64fa1683463a2b1bb4fbd73801147" 0.333956924380886 0.566747295688818 0.577196119490697 0.998799178091294 -1.44476710755739 2.59915934653878
"9" "X34244f46ca2dbc7e4f45efefd6ee8dce" 15.9754330707021 0.000284976060703445 3.69712318584034 0.924991200303576 1.82457639827585 5.56966997340483
"10" "ae430eb9bab5c95870c2d866a9dcb8c0" 0.750452900844998 0.391769858717676 0.534967181992444 0.617540464803277 -0.715178130934795 1.78511249491968
"11" "db1dd17a7ff61cf926ea9945e1a66fc7" 1.59726308809506 0.213989736967915 -0.915643603614894 0.724499747058654 -2.38231666331613 0.551029456086344
"12" "e1cb5909abaf3355c22a35e0e6377989" 2.1269383022022 0.152946041018543 -0.921563129196491 0.631898965934086 -2.20077570801546 0.357649449622482
"13" "X5eceb83d1c895546f0973a23a34f0a18" 2.73834432747019 0.106203890816101 1.00054547819818 0.60463433455157 -0.223472739968817 2.22456369636518
"14" "b23a35f79e222c1937d9806e618572ac" 9.6665535147624 0.00354749315979479 -2.27876625757703 0.732932450249216 -3.76251043240324 -0.795022082750815
"15" "e745ca1ebd98997572818f92c92d0fc0" 0.3852852885111 0.538493514357424 -0.277518612408282 0.4470961211704 -1.18261739081332 0.627580165996755
"16" "debda29d401bc8ea6f446870664b5b3a" 0.284108094494406 0.597124902332916 0.332976372128326 0.624700154802918 -0.931662975449604 1.59761571970626
"17" "X7ff346973a282aa55de296afdb5d74af" 2.86517163319874 0.0987008021967816 -0.816982646195948 0.482655778720776 -1.79406818781667 0.160102895424778
"18" "bcc6da5f621cbdfc1f0c9becbac6cdff" 9.21173432617483 0.00432444949162281 -1.97373408605382 0.650306267023208 -3.29021029777098 -0.657257874336657
"19" "X969f31c0661e3a9cdbee35fd28bdb5ea" 0.0925655245048439 0.762600534232425 0.166341478828433 0.546733801867971 -0.94046323888649 1.27314619654336
"20" "ed16db1b1722e2f09ffa68b41535d07f" 8.71461139171107 0.00538579192728471 -2.91647039937893 0.987946802977786 -4.91646414158265 -0.916476657175216
"21" "X4bc3351a4fd8d95376d9111d0b177405" 0.962069552734834 0.332869851009059 0.625259566140332 0.637466122688799 -0.665223132322463 1.91574226460313
"22" "X83233b11607e6ceeca0bb04473bdb798" 0.00183403759027117 0.966064747863286 -0.0332574082790943 0.776576574126242 -1.60535449277101 1.53883967621282
"23" "a1d83433e07f97fd446f7ff512e44fc6" 1.58778855445314 0.21532599939884 1.13229469337444 0.898593222027118 -0.686812181028107 2.95140156777699
"24" "X20b3df08cd5fac2be26a2928155bab69" 2.15370049452523 0.150455475701001 -1.31528806912872 0.896248056251637 -3.12964740362198 0.499071265364538
