"Coefficient" "lwr" "upr" "Pvalue" "StageFig"
"HatchedEgg - UnhatchedEgg" -2.78847607137091 -4.01088588603031 -1.5660662567115 4.03099775780902e-12 "HatchedEgg - UnhatchedEgg"
"day0 - UnhatchedEgg" -2.8636376376715 -4.21194654375098 -1.51532873159201 1.48137058175735e-10 "day0 - UnhatchedEgg"
"day5 - UnhatchedEgg" 3.7528654648298 2.55462602971972 4.95110489993988 0 "day5 - UnhatchedEgg"
"day10 - UnhatchedEgg" 4.40494426736975 3.1117506079533 5.6981379267862 0 "day10 - UnhatchedEgg"
"day15 - UnhatchedEgg" 3.42653847567552 2.08484004556514 4.76823690578589 1.29563026973756e-13 "day15 - UnhatchedEgg"
"day20 - UnhatchedEgg" 3.96073195565844 2.55584024052387 5.36562367079301 0 "day20 - UnhatchedEgg"
"day25 - UnhatchedEgg" 3.13454547547862 1.68979974751135 4.57929120344589 6.17278450576464e-11 "day25 - UnhatchedEgg"
"day30andGreater - UnhatchedEgg" 2.52209655315987 1.15068203137772 3.89351107494202 5.30032699286309e-07 "day30andGreater - UnhatchedEgg"
"NestEnvironment - UnhatchedEgg" -1.9594983978512 -3.16650690701613 -0.752489888686267 9.47141141183216e-06 "NestEnvironment - UnhatchedEgg"
"day0 - HatchedEgg" -0.0751615663005905 -1.34966092432032 1.19933779171914 0.999999995085572 "day0 - HatchedEgg"
"day5 - HatchedEgg" 6.54134153620071 5.42680600458284 7.65587706781857 0 "day5 - HatchedEgg"
"day10 - HatchedEgg" 7.19342033874065 5.97737693979911 8.4094637376822 0 "day10 - HatchedEgg"
"day15 - HatchedEgg" 6.21501454704642 4.94751054912774 7.4825185449651 0 "day15 - HatchedEgg"
"day20 - HatchedEgg" 6.74920802702935 5.41499198806158 8.08342406599712 0 "day20 - HatchedEgg"
"day25 - HatchedEgg" 5.92302154684952 4.54690311959054 7.29913997410851 0 "day25 - HatchedEgg"
"day30andGreater - HatchedEgg" 5.31057262453078 4.01165403665206 6.6094912124095 0 "day30andGreater - HatchedEgg"
"NestEnvironment - HatchedEgg" 0.828977673519706 -0.294980176471678 1.95293552351109 0.36640619174563 "NestEnvironment - HatchedEgg"
"day5 - day0" 6.6165031025013 5.36516757496414 7.86783863003846 0 "day5 - day0"
"day10 - day0" 7.26858190504124 5.92604225967941 8.61112155040308 0 "day10 - day0"
"day15 - day0" 6.29017611334701 4.90085342369488 7.67949880299915 0 "day15 - day0"
"day20 - day0" 6.82436959332994 5.37392704366543 8.27481214299445 0 "day20 - day0"
"day25 - day0" 5.99818311315011 4.50910518466699 7.48726104163324 0 "day25 - day0"
"day30andGreater - day0" 5.38573419083137 3.96769305984206 6.80377532182068 0 "day30andGreater - day0"
"NestEnvironment - day0" 0.904139239820297 -0.355595811614135 2.16387429125473 0.406301283164174 "NestEnvironment - day0"
"day10 - day5" 0.652078802539947 -0.539665103262665 1.84382270834256 0.776625172967837 "day10 - day5"
"day15 - day5" -0.326326989154285 -1.57053692868382 0.917882950375253 0.998114244655509 "day15 - day5"
"day20 - day5" 0.207866490828641 -1.104240375062 1.51997335671928 0.999970424568581 "day20 - day5"
"day25 - day5" -0.618319989351183 -1.97301328111233 0.736373302409961 0.912822767918058 "day25 - day5"
"day30andGreater - day5" -1.23076891166993 -2.50696697107077 0.0454291477309119 0.0692154406282834 "day30andGreater - day5"
"NestEnvironment - day5" -5.712363862681 -6.80998549031969 -4.61474223504231 0 "NestEnvironment - day5"
"day15 - day10" -0.978405791694233 -2.31430641319093 0.357494829802468 0.377232747032105 "day15 - day10"
"day20 - day10" -0.444212311711307 -1.84356806505548 0.955143441632866 0.992011469889209 "day20 - day10"
"day25 - day10" -1.27039879189113 -2.70976184949961 0.168964265717346 0.139173200873853 "day25 - day10"
"day30andGreater - day10" -1.88284771420988 -3.24859058302294 -0.517104845396819 0.00056769304986759 "day30andGreater - day10"
"NestEnvironment - day10" -6.36444266522095 -7.5650030903235 -5.1638822401184 0 "NestEnvironment - day10"
"day20 - day15" 0.534193479982926 -0.910106129178789 1.97849308914464 0.976586494814547 "day20 - day15"
"day25 - day15" -0.291993000196897 -1.77508802353245 1.19110202313865 0.999815013290618 "day25 - day15"
"day30andGreater - day15" -0.904441922515645 -2.31619913263529 0.507315287603995 0.578458190359781 "day30andGreater - day15"
"NestEnvironment - day15" -5.38603687352671 -6.63869411753226 -4.13337962952117 0 "NestEnvironment - day15"
"day25 - day20" -0.826186480179823 -2.36668539356557 0.714312433205923 0.796551037007392 "day25 - day20"
"day30andGreater - day20" -1.43863540249857 -2.91058121475497 0.0333104097578274 0.0622334365385006 "day30andGreater - day20"
"NestEnvironment - day20" -5.92023035350964 -7.24035013021938 -4.60011057679991 0 "NestEnvironment - day20"
"day30andGreater - day25" -0.612448922318748 -2.12248003505786 0.897582190420368 0.957213405270069 "day30andGreater - day25"
"NestEnvironment - day25" -5.09404387332982 -6.4564996385042 -3.73158810815544 0 "NestEnvironment - day25"
"NestEnvironment - day30andGreater" -4.48159495101107 -5.76602995682386 -3.19715994519828 0 "NestEnvironment - day30andGreater"
